anno;struttura;punto norma;rilievo;ispettore
2015;SE;4.3;NC;PB
2015;SE;4.3;NC;AM
2015;SE;4.3;NC;AM
2015;SE;4.3;NC;AM
2015;SE;4.3;NC;AM
2015;SE;4.10;NC;AM
2015;SE;4.12;NC;AM
2015;SE;4.13;NC;AM
2015;SE;4.13;NC;AM
2015;SE;4.13;NC;PB
2015;SE;5.2;NC;AM
2015;SE;5.2;NC;AM
2015;SE;5.2;NC;AM
2015;SE;5.2;NC;PB
2015;SE;5.2;NC;PB
2015;SE;5.3;NC;PB
2015;SE;5.4;NC;PB
2015;SE;5.5;NC;PB
2015;SE;5.5;NC;GF
2015;SE;5.6;NC;PB
2015;FO;4.1;NC;LM
2015;FO;4.2;COMM;LM
2015;FO;4.2;COMM;LM
2015;FO;4.3;NC;LM 
2015;FO;4.13;NC;LM
2015;FO;4.13;NC;LM
2015;FO;4.13;NC;LM
2015;FO;4.13;NC;LM
2015;FO;4.13;NC;LM
2015;FO;4.13;NC;LM
2015;FO;4.13;NC;LM
2015;FO;4.13;NC;LM
2015;FO;4.13;NC;FP
2015;FO;5.2;NC;LM
2015;FO;5.2;NC;LM
2015;FO;5.3;NC;FP
2015;FO;5.4;NC;FP
2015;FO;5.4;NC;LM
2015;FO;5.4;NC;LM
2015;FO;5.4;NC;LM
2015;FO;5.6;COMM;FP
2015;BO;4.1;NC;LM
2015;BO;4.2;NC;LM
2015;BO;4.2;NC;LM
2015;BO;4.3;NC;GF
2015;BO;4.3;NC;GF
2015;BO;4.6;NC;LM 
2015;BO;4.6;NC;LM
2015;BO;4.11;NC;LM
2015;BO;4.12;NC;LM
2015;BO;5.6;COMM;GF
2015;BO;5.8;COMM;GF
2015;RE ;4.3;NC;AM
2015;RE ;4.3;NC;AM
2015;RE ;4.3;NC;AM
2015;RE ;4.3;NC;MCF
2015;RE ;4.13;NC;AM
2015;RE ;4.13;NC;MCF
2015;RE ;4.13;NC;MCF
2015;RE ;4.13;NC;MCF
2015;RE ;4.13;NC;MCF
2015;RE ;4.13;NC;MCF
2015;RE ;5.4;NC;MCF
2015;RE ;5.4;NC;MCF
2015;RE ;5.5;NC;MCF
2015;RE ;5.6;NC;MCF
2015;RE ;5.6;NC;MCF
2015;RE ;5.9;NC;MCF
2015;RE ;5.9;NC;MCF
2015;RE ;5.9;NC;MCF
2015;RE ;5.10;NC;MCF
2015;VA;4.1;NC;LM
2015;VA;4.1;NC;LM
2015;VA;4.2;NC;LM
2015;VA;4.2;NC;LM
2015;VA;4.2;NC;LM
2015;VA;4.2;NC;LM
2015;VA;4.2;NC;LM
2015;VA;4.3;NC;LM
2015;VA;4.3;NC;LM
2015;VA;4.3;NC;GF
2015;VA;4.6;NC;LM
2015;VA;4.7;NC;LM
2015;VA;4.11;NC;LM
2015;VA;4.15;NC;LM
2015;VA;5.3;NC;GF
2015;VA;5.4;NC;GF
2015;VA;5.4;NC;GF
2015;VA;5.5;NC;GF
2015;VA;5.6;NC;GF
2015;VA;5.6;NC;GF
2015;VA;5.6;NC;GF
2015;VA;5.9;NC;GF
2015;MN ;4.3;NC;AA
2015;MN ;4.3;NC;"AA
GA"
2015;MN ;4.11;NC;AA
2015;MN ;4.13;NC;GA
2015;MN ;5.2;NC;GA
2015;MN ;5.8;NC;GA
2015;SO;5.3;NC;AM
2015;SO;4.3;NC;AM
2015;SO;4.3;NC;AM
2015;SO;4.3;NC;LM
2015;SO;4.3;NC;LM
2015;SO;4.13;NC;LM
2015;SO;4.13;NC;LM
2015;SO;4.13;NC;LM
2015;SO;5.1;NC;LM
2015;SO;5.2;NC;AM
2015;SO;5.2;NC;AM
2015;SO;5.4;NC;LM
2015;SO;5.4;NC;LM
2015;SO;5.6;NC;LM
2015;SO;5.10;NC;AM
2015;PR;4.3;NC;LM
2015;PR;4.10;NC;LM
2015;PR;4.13;NC;LM
2015;PR;4.13;NC;MCF
2015;PR;4.15;NC;LM
2015;PR;5.2;NC;MCF
2015;PR;5.5;NC;MCF
2015;PR;5.8;COMM;MCF
2015;PR;5.9;NC;MCF
2015;BS;4.1;NC;LM
2015;BS;4.1;NC;LM
2015;BS;4.1;NC;LM
2015;BS;4.2;NC;GT
2015;BS;4.2;NC;LM
2015;BS;4.2;COMM;LM
2015;BS;4.2;NC;LM
2015;BS;4.6;NC;LM
2015;BS;4.6;NC;LM
2015;BS;4.8;NC;LM
2015;BS;4.12;NC;LM
2015;BS;4.13;NC;LM
2015;BS;4.13;NC;"LM

GT"
2015;BS;4.15;NC;LM
2015;BS;5.5;NC;GT
2015;BS;5.6;NC;GT
2015;BS;5.9;NC;GT
2015;BS;5.9;NC;LM
2015;CR;4.1;NC;AM
2015;CR;4.4;NC;PB
2015;CR;4.13;NC;PB
2015;CR;4.13;NC;AM
2015;CR;4.13;NC;AM
2015;CR;4.13;NC;AM
2015;CR;4.13;NC;AM
2015;CR;5.2;NC;AM
2015;CR;5.2;NC;AM
2015;CR;5.4;NC;PB
2015;CR;5.6;NC;PB
2015;CR;5.6;NC;PB
2015;LU ;4.1;NC;AA
2015;LU ;4.3;NC;AA
2015;LU ;4.4;NC;AA
2015;LU ;4.13;NC;AA
